name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Sugar Rush,No,No,3.8,39,300.0,Dining
Burger King,Yes,No,3.2,71,600.0,Dining
The Good Bowl,Yes,No,3.6,6,500.0,Dining
The Biryani Cafe,No,No,4.1,520,300.0,Dining
Spicy Tandoor,No,No,4.1,0,150.0,Dining
LSD Cafe,No,No,2.9,84,700.0,other
Rolls On Wheels,No,No,3.6,299,300.0,Dining
Om Sri Vinayaka Chats,No,No,3.6,0,500.0,Dining
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,150.0,Dining
Devanna Dum Biriyani Centre,Yes,No,3.6,28,300.0,Dining
Kolbeh,No,No,3.7,22,500.0,Dining
Upahar Sagar,No,No,3.8,39,350.0,Dining
Kadalu Sea Food Restaurant,Yes,No,3.8,153,500.0,Dining
Frozen Bottle,Yes,No,4.2,146,400.0,Dining
Parimala Sweets,No,No,3.5,14,200.0,Dining
Vaishali Deluxe,No,No,3.8,42,700.0,Dining
Chill Out,No,No,3.8,0,100.0,Dining
The Big O Bakes,No,No,4.0,66,300.0,Dining
Meghana Foods,Yes,No,4.4,4401,600.0,Dining
Krishna Sagar,No,No,3.5,31,200.0,Dining
Dessert Rose,No,No,3.5,7,500.0,Dining
Chickpet Donne Biryani House,No,No,3.7,21,250.0,Dining
Me And My Cake,No,No,3.7,0,500.0,Dining
Sunsadm,No,No,3.7,0,400.0,Dining
Annapooraneshwari Mess,No,No,3.7,0,200.0,Dining
Thanco's Natural Ice Creams,No,No,3.2,9,300.0,Dining
Nandhini Deluxe,No,No,2.6,283,600.0,Dining
Vi Ra's Bar and Restaurant,No,No,3.3,62,800.0,Dining
Kaggis,No,No,3.8,64,250.0,Dining
Ayda Persian Kitchen,No,No,3.7,39,950.0,Dining
Chatar Patar,No,No,3.7,65,300.0,Dining
Polar Bear,Yes,No,3.8,71,400.0,Dining
Kidambi's Kitchen,No,No,3.5,52,300.0,Dining
Mane Thindi,No,No,3.7,130,200.0,Dining
Kotian Karavali Restaurant,No,No,3.5,10,300.0,Dining
Floured-Baked With Love,No,No,3.8,45,400.0,Dining
CAFE NOVA,No,No,3.2,11,600.0,Dining
Cakes & Slices,No,No,3.5,13,300.0,Dining
Spice 9,No,No,3.4,8,300.0,Dining
Coffee Shopee,No,No,3.4,0,250.0,Dining
Naveen Kabab & Biriyani Mane,No,No,3.2,9,300.0,Dining
Katriguppe Donne Biryani,No,No,3.2,4,300.0,Dining
Hari Super Sandwich,No,No,3.2,0,200.0,Dining
Atithi Point Ande Ka Funda,No,No,3.1,29,150.0,Dining
Just Bake,No,No,3.4,8,400.0,Dining
Dharwad Line Bazaar Mishra Pedha,No,No,3.4,0,150.0,Dining
Cake Bite,No,No,3.4,0,300.0,Dining
Aarush's Food Plaza,No,No,3.4,0,200.0,Dining
Wood Stove,No,No,3.4,0,150.0,Dining
Kulfi & More,No,No,3.4,0,150.0,Dining
Kannadigas Karavali,No,No,3.4,0,250.0,Dining
K27 - The Pub,No,No,3.1,30,900.0,Dining
Bengaluru Coffee House,Yes,No,4.1,201,300.0,Dining
New Mangalore Lunch Home,No,No,3.3,7,200.0,Dining
Coffee Bytes,No,No,3.1,6,100.0,Dining
Parjanya Chat Zone,No,No,3.3,17,200.0,Dining
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,200.0,Dining
Soms Kitchen & Bakes,No,No,2.9,0,400.0,Dining
Banashankari Nati Style,No,No,2.9,0,350.0,Dining
Ruchi Maayaka,No,No,3.3,8,100.0,Dining
Mohitesh Hut Roll,No,No,3.3,0,150.0,Dining
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4,0,150.0,Dining
Roll Magic Fast Food,No,No,3.4,0,200.0,Dining
Foodlieious Multi Cuisine,No,No,3.4,0,100.0,Dining
Thanishka Nati And Karavali Style,No,No,3.1,0,400.0,Dining
Swathi Cool Point,No,No,4.1,0,200.0,Dining
Kaumudis Juoice,No,No,3.3,0,150.0,Dining
Amma - Manae,No,No,3.1,0,400.0,Dining
Sri Sai Tiffannies,No,No,3.3,0,150.0,Dining
Hotel Andhra Speices,No,No,2.9,0,250.0,Dining
Sri Murari Family Restaurant,No,No,2.9,0,250.0,Dining
Aramane Donne Biriyani,No,No,2.9,0,150.0,Dining
Darkolates,No,No,3.3,0,200.0,Dining
Swaada Healthy Kitchen,No,No,3.3,0,350.0,Dining
Gawdaru Mane Beriyani,No,No,3.3,0,300.0,Dining
Melting Melodies,No,No,3.3,0,100.0,Dining
New Indraprasta,No,No,3.3,0,150.0,Dining
Anna Kuteera,Yes,No,4.0,771,450.0,Dining
Darbar,No,No,3.0,98,800.0,Dining
Vijayalakshmi,Yes,No,3.9,47,200.0,Dining
